"MapID","Area Name","White alone persons","Black or African-American alone persons","Native American alone persons","Asian alone persons","Pacific Islander alone persons","Other race alone persons","Persons of two or more race","Persons under 5 years","Persons 5-9 years","Persons 10-14 years","Persons 15-17 years","Persons 18 and 19 years","Persons 20 years","Persons 21 years","Persons 22-24 years","Persons 25-29 years","Persons 30-34 years","Persons 35-39 years","Persons 40-44 years","Persons 45-49 years","Persons 50-54 years","Persons 55-59 years","Persons 60 and 61 years","Persons 62-64 years","Persons 65 and 66 years","Persons 67-69 years","Persons 70-74 years","Persons 75-79 years","Persons 80-84 years","Persons 85 years and over"
11357,"11357 - Whitestone",27872,242,94,9251,0,1764,887,2460,2072,2085,1285,705,352,417,1051,2197,2479,2484,2606,2980,2727,3021,1034,1537,984,1341,2205,1488,1365,1235
11358,"11358 - Auburndale",16572,516,61,17561,0,2923,1083,1985,1776,1892,1137,581,450,552,1277,3119,2627,2712,2635,2619,3412,3127,1174,1450,917,1042,1451,1146,896,736
11360,"11360 - Bay Terrace",12532,337,51,4732,0,1086,332,861,983,796,400,288,178,146,570,876,936,1264,1469,1252,1372,1434,441,904,559,689,919,722,875,1135
11361,"11361 - Bayside",14657,660,0,11806,0,1405,762,1419,1440,1469,1027,623,341,284,927,2098,2183,2159,2067,1966,2280,2244,777,1159,660,666,1175,757,666,903
11362,"11362 - Little Neck",9161,430,0,7301,0,315,579,1035,903,663,611,333,77,128,522,1318,816,1146,1282,922,1515,1464,609,735,475,616,844,369,546,858
11363,"11363 - Douglaston",4726,94,0,2338,0,406,328,413,417,636,242,157,84,41,197,427,397,455,581,442,836,674,130,285,209,206,442,261,112,248
11364,"11364 - Oakland Gardens/Bayside Hill",14869,1096,37,17522,59,737,962,1788,1809,1879,1321,410,428,270,1105,1820,2265,2324,2563,2908,2725,2682,1353,1170,1105,1303,1363,1039,603,1048
11365,"11365 - Fresh Meadows",14524,1548,181,19911,0,4116,1328,2848,2094,2341,1113,796,536,516,1585,3110,2452,2371,3068,3083,3820,3231,1017,1730,786,1081,1257,722,888,1161
11366,"11366 - Utopia/Fresh Meadows",7414,808,27,6398,0,470,476,988,860,778,534,359,225,279,735,976,907,958,1106,896,1233,1066,379,698,433,373,665,363,386,396
11367,"11367 - Kew Garden Hills",25605,4859,106,10725,0,1775,1944,4109,2999,2195,1207,1353,751,788,1976,3966,3052,2669,2908,1983,2482,3125,1525,1667,1176,1127,1515,1006,637,797
11368,"11368 - Corona",47872,13897,1087,13062,0,36172,2758,10603,8322,7539,4016,2444,1715,1756,5637,11669,10395,10180,8809,6677,5656,5418,2090,2172,1510,1879,2262,1849,1012,1237
11369,"11369 - East Elmhurst",8891,5713,56,4836,0,14777,1280,2261,1853,1871,1451,847,611,723,1819,2778,2938,2197,2516,2663,2322,2184,944,844,778,895,947,792,684,635
11370,"11370 - Jackson Heights-Rikers Island(Queens only)",13293,465,253,8335,0,5378,617,1611,1336,1595,1068,637,475,279,1431,2097,1881,1923,2262,2080,2116,1928,698,866,564,626,711,888,692,576
11372,"11372 - Jackson Heights",40017,1639,144,14058,143,9000,1704,3811,3439,3154,1546,1294,749,747,2489,5771,6325,4973,5162,5463,4826,3904,1524,2183,1142,1760,3036,1247,1006,1154
11373,"11373 - Elmhurst",32263,2345,487,48869,7,14876,2388,6381,5725,4547,2882,1753,1138,1333,4284,8472,9421,8221,8230,6951,6427,6876,2415,3234,2227,2417,2932,2226,1684,1457
11374,"11374 - Rego Park",25997,1461,71,12224,16,2308,1256,2432,1947,1344,969,549,455,298,1316,3412,3583,3190,2932,2854,2983,3645,1155,2098,922,1414,1808,1656,980,1391
11375,"11375 - Forest Hills",46029,2292,268,19341,56,2511,2399,5052,3940,3168,1543,857,364,422,1749,4708,6114,6533,6021,5122,4720,5032,2033,2312,1625,2293,2642,2076,2146,2426
11377,"11377 - Woodside",43794,2008,255,31789,10,7209,2667,4828,4814,4465,2377,1546,1230,946,3462,7750,8478,8167,6803,6302,5918,5274,1725,2461,1823,1833,2762,1964,1537,1266
11378,"11378 - Maspeth",24655,585,80,3548,26,3105,794,1945,1887,1858,1331,649,345,371,1194,2181,2955,2226,2362,2413,2262,2439,976,1078,632,630,1028,734,515,781
11379,"11379 - Middle Village",24186,263,22,1933,0,1154,688,1231,1592,1510,723,480,295,263,706,1728,1898,1908,2122,2139,2012,2059,805,1172,715,904,1310,1082,793,798
11385,"11385 - Ridgewood/Glendale",85318,2410,238,7100,46,6970,2146,6822,6649,5831,3778,2308,1482,1315,5238,9583,8564,8812,7048,7110,7079,6771,2221,3336,1792,1859,2127,1822,1364,1321
11411,"11411 - Cambria Heights",434,18237,60,164,0,462,446,873,902,1031,739,274,213,338,883,1078,1138,1211,1496,1276,1578,1495,663,625,490,736,1158,723,494,390
11412,"11412 - St. Albans",875,33079,166,867,14,1302,1356,2522,2297,2316,1495,967,643,509,1780,2392,2538,1998,2335,2815,2966,2996,992,1172,778,900,1052,836,657,703
11413,"11413 - Springfield Gardens/Laurelton",1240,40153,98,542,117,1237,849,2604,2524,2789,2082,1201,536,607,2089,3267,2816,2904,2664,3159,3591,2616,1011,1467,738,1320,1682,1215,716,639
11414,"11414 - Howard Beach",22194,509,0,1160,0,2840,1260,1466,1592,1567,851,495,279,366,660,1374,1286,2188,1848,2118,1918,1969,835,1242,795,972,1028,1119,789,1206
11415,"11415 - Kew Gardens",12049,1419,70,3931,0,2437,728,1364,1176,1159,722,294,188,246,675,1688,1777,1790,1483,1607,1162,1221,660,627,435,540,586,390,395,448
11416,"11416 - Ozone Park/Woodhaven",7493,1505,86,8601,43,6857,1511,1733,1631,1747,1217,625,518,382,1445,2024,1789,1934,1680,1826,1795,1788,514,884,482,466,555,487,299,276
11417,"11417 - Ozone Park",11988,2289,69,8796,5,6500,1791,1918,1810,2102,1217,791,690,432,1488,2372,2070,1967,2325,2567,2490,2383,741,796,673,721,643,447,364,431
11418,"11418 - Richmond Hill",14875,2704,287,9948,0,8303,2176,2624,2509,2546,1666,1011,621,592,1741,3412,3102,2555,2461,3080,2519,2197,904,1106,605,723,838,716,389,377
11419,"11419 - South Richmond Hill",6601,8511,509,15575,0,16232,3327,2851,2452,3087,2174,1316,907,839,2696,4535,3558,3319,3584,3900,4137,3572,1361,1564,919,1073,1124,948,432,408
11420,"11420 - South Ozone Park",8263,13009,839,12957,72,13376,3433,2931,2996,3515,2111,1349,893,1029,2613,4032,3261,3146,3904,3552,4555,3577,1420,1465,816,1101,1576,1058,500,550
11421,"11421 - Woodhaven",21414,1950,309,8920,0,9007,2468,3094,2670,2509,1668,1050,621,712,2428,3302,3209,2981,3054,3229,3128,3288,1204,1219,822,811,1278,878,403,510
11422,"11422 - Rosedale",2118,29262,24,513,0,784,841,2098,1843,2161,1393,800,620,433,1567,2691,2521,2165,1795,2373,2856,2553,784,1142,583,809,1099,582,307,365
11423,"11423 - Hollis/Holliswood",3783,11730,273,8345,0,3960,1667,1628,1298,1777,1081,818,471,401,1449,2202,1981,1672,1956,2237,2349,2293,717,1126,633,920,1055,627,421,645
11426,"11426 - Bellerose",8168,828,53,8789,0,1429,578,1622,1096,894,553,525,224,309,858,1611,1642,982,1076,1147,1550,1514,411,925,381,582,727,469,215,532
11427,"11427 - Queens Village/Creedmoor",6520,5483,57,7316,15,2367,1390,1475,1005,1102,767,496,361,280,1029,1234,1579,1517,1645,1771,1560,1803,842,1085,642,601,753,598,457,546
11428,"11428 - Queens Village",4264,3904,9,5689,62,3388,2014,949,1026,1000,799,479,343,232,849,1490,1166,1399,1293,1534,1738,1393,616,602,488,488,648,368,250,181
11429,"11429 - Queens Village (South)",1166,20682,115,864,46,2918,951,1120,1312,1672,1051,650,416,459,1351,1953,1914,1640,1908,1911,2104,2060,829,694,495,744,1093,603,422,342
11430,"11430 - JFK Airport",228,8,0,18,0,19,11,9,22,13,8,3,3,4,10,16,14,16,21,19,18,26,11,13,10,11,9,10,10,7
11432,"11432 - Jamaica/Hillcrest",14447,10226,326,27118,0,10130,2597,4423,3710,4098,2178,3276,1205,1037,2855,4623,4761,4308,4293,3998,4099,4212,1219,2072,972,1663,2108,1447,1166,1121
11433,"11433 - South Jamaica",1451,23188,62,2386,0,6422,1001,2227,2349,2614,1704,981,614,545,1766,2678,2482,2081,2429,2402,2244,2007,807,961,575,566,954,654,466,403
11434,"11434 - Rochdale/Baisley Park",1749,57073,31,1092,19,3204,1089,4097,3902,4019,2752,1522,1119,778,2851,4767,4379,4113,3911,4284,5237,4290,1216,1873,1244,1646,1798,1800,1093,1567
11435,"11435 - Jamaica Hills/South Jamaica",11705,14243,116,12624,23,15767,3235,3876,3610,3103,1844,1223,625,851,2211,5650,5206,4143,4076,4265,3765,3826,1426,1555,1005,1441,1253,1098,911,749
11436,"11436 - South Ozone Park",1454,15030,128,1828,1,2854,750,1267,1307,1623,832,433,367,415,1165,1866,1531,1535,1399,1634,1823,1347,441,681,328,465,657,358,261,312
11691,"11691 - Far Rockaway",24915,29625,158,2064,57,5609,1537,6846,5551,4666,2495,1446,1028,988,2890,4198,4264,4494,2758,3641,3772,3571,1604,1719,1154,1060,1671,1642,1342,1166
11692,"11692 - Arverne",4919,11467,153,1179,0,1820,506,1580,1557,1600,1153,475,315,288,537,1285,1295,1156,1189,1619,1426,1111,551,658,385,381,387,482,345,268
11693,"11693 - Hammels/Broad Channel",6908,2991,24,892,0,904,621,917,893,590,421,187,304,149,371,976,838,697,905,1119,1004,787,290,467,299,209,368,281,163,106
11694,"11694 - Seaside/Belle Harbour/Neponsit",17394,1694,106,614,0,1173,179,1169,1066,1384,916,316,181,200,408,993,1394,988,1109,1431,2004,1646,631,942,658,691,907,834,569,721
11697,"11697 - Rockaway Point/Roxbury",3776,13,0,10,0,117,12,175,259,336,158,58,49,0,160,159,64,192,202,305,308,335,155,141,52,132,181,138,199,170

"Table Details"
"Region: New York City"
"Overall Area: New York City"
"Areas Compared: Zip Codes"
"Data and Sources:"
"White alone persons [  Population by Race ] 2012-2016  Amer. Community Survey 5-yr avg (w/Margins of Error) from American Community Survey, Census Bureau, US Commerce Dept"
"Black or African-American alone persons [  Population by Race ] 2012-2016  Amer. Community Survey 5-yr avg (w/Margins of Error) from American Community Survey, Census Bureau, US Commerce Dept"
"Native American alone persons [  Population by Race ] 2012-2016  Amer. Community Survey 5-yr avg (w/Margins of Error) from American Community Survey, Census Bureau, US Commerce Dept"
"Asian alone persons [  Population by Race ] 2012-2016  Amer. Community Survey 5-yr avg (w/Margins of Error) from American Community Survey, Census Bureau, US Commerce Dept"
"Pacific Islander alone persons [  Population by Race ] 2012-2016  Amer. Community Survey 5-yr avg (w/Margins of Error) from American Community Survey, Census Bureau, US Commerce Dept"
"Other race alone persons [  Population by Race ] 2012-2016  Amer. Community Survey 5-yr avg (w/Margins of Error) from American Community Survey, Census Bureau, US Commerce Dept"
"Persons of two or more race [  Population by Race ] 2012-2016  Amer. Community Survey 5-yr avg (w/Margins of Error) from American Community Survey, Census Bureau, US Commerce Dept"
"Persons under 5 years [  Population by Age ] 2012-2016  Amer. Community Survey 5-yr avg (w/Margins of Error) from American Community Survey, Census Bureau, US Commerce Dept"
"Persons 5-9 years [  Population by Age ] 2012-2016  Amer. Community Survey 5-yr avg (w/Margins of Error) from American Community Survey, Census Bureau, US Commerce Dept"
"Persons 10-14 years [  Population by Age ] 2012-2016  Amer. Community Survey 5-yr avg (w/Margins of Error) from American Community Survey, Census Bureau, US Commerce Dept"
"Persons 15-17 years [  Population by Age ] 2012-2016  Amer. Community Survey 5-yr avg (w/Margins of Error) from American Community Survey, Census Bureau, US Commerce Dept"
"Persons 18 and 19 years [  Population by Age ] 2012-2016  Amer. Community Survey 5-yr avg (w/Margins of Error) from American Community Survey, Census Bureau, US Commerce Dept"
"Persons 20 years [  Population by Age ] 2012-2016  Amer. Community Survey 5-yr avg (w/Margins of Error) from American Community Survey, Census Bureau, US Commerce Dept"
"Persons 21 years [  Population by Age ] 2012-2016  Amer. Community Survey 5-yr avg (w/Margins of Error) from American Community Survey, Census Bureau, US Commerce Dept"
"Persons 22-24 years [  Population by Age ] 2012-2016  Amer. Community Survey 5-yr avg (w/Margins of Error) from American Community Survey, Census Bureau, US Commerce Dept"
"Persons 25-29 years [  Population by Age ] 2012-2016  Amer. Community Survey 5-yr avg (w/Margins of Error) from American Community Survey, Census Bureau, US Commerce Dept"
"Persons 30-34 years [  Population by Age ] 2012-2016  Amer. Community Survey 5-yr avg (w/Margins of Error) from American Community Survey, Census Bureau, US Commerce Dept"
"Persons 35-39 years [  Population by Age ] 2012-2016  Amer. Community Survey 5-yr avg (w/Margins of Error) from American Community Survey, Census Bureau, US Commerce Dept"
"Persons 40-44 years [  Population by Age ] 2012-2016  Amer. Community Survey 5-yr avg (w/Margins of Error) from American Community Survey, Census Bureau, US Commerce Dept"
"Persons 45-49 years [  Population by Age ] 2012-2016  Amer. Community Survey 5-yr avg (w/Margins of Error) from American Community Survey, Census Bureau, US Commerce Dept"
"Persons 50-54 years [  Population by Age ] 2012-2016  Amer. Community Survey 5-yr avg (w/Margins of Error) from American Community Survey, Census Bureau, US Commerce Dept"
"Persons 55-59 years [  Population by Age ] 2012-2016  Amer. Community Survey 5-yr avg (w/Margins of Error) from American Community Survey, Census Bureau, US Commerce Dept"
"Persons 60 and 61 years [  Population by Age ] 2012-2016  Amer. Community Survey 5-yr avg (w/Margins of Error) from American Community Survey, Census Bureau, US Commerce Dept"
"Persons 62-64 years [  Population by Age ] 2012-2016  Amer. Community Survey 5-yr avg (w/Margins of Error) from American Community Survey, Census Bureau, US Commerce Dept"
"Persons 65 and 66 years [  Population by Age ] 2012-2016  Amer. Community Survey 5-yr avg (w/Margins of Error) from American Community Survey, Census Bureau, US Commerce Dept"
"Persons 67-69 years [  Population by Age ] 2012-2016  Amer. Community Survey 5-yr avg (w/Margins of Error) from American Community Survey, Census Bureau, US Commerce Dept"
"Persons 70-74 years [  Population by Age ] 2012-2016  Amer. Community Survey 5-yr avg (w/Margins of Error) from American Community Survey, Census Bureau, US Commerce Dept"
"Persons 75-79 years [  Population by Age ] 2012-2016  Amer. Community Survey 5-yr avg (w/Margins of Error) from American Community Survey, Census Bureau, US Commerce Dept"
"Persons 80-84 years [  Population by Age ] 2012-2016  Amer. Community Survey 5-yr avg (w/Margins of Error) from American Community Survey, Census Bureau, US Commerce Dept"
"Persons 85 years and over [  Population by Age ] 2012-2016  Amer. Community Survey 5-yr avg (w/Margins of Error) from American Community Survey, Census Bureau, US Commerce Dept"
