"MapID","Area Name","White alone persons","Black or African-American alone persons","Native American alone persons","Asian alone persons","Pacific Islander alone persons","Other race alone persons","Persons of two or more race","Persons under 5 years","Persons 5-9 years","Persons 10-14 years","Persons 15-17 years","Persons 18 and 19 years","Persons 20 years","Persons 21 years","Persons 22-24 years","Persons 25-29 years","Persons 30-34 years","Persons 35-39 years","Persons 40-44 years","Persons 45-49 years","Persons 50-54 years","Persons 55-59 years","Persons 60 and 61 years","Persons 62-64 years","Persons 65 and 66 years","Persons 67-69 years","Persons 70-74 years","Persons 75-79 years","Persons 80-84 years","Persons 85 years and over"
10028,"10028 - Yorkville",41830,696,48,4033,103,437,1005,1944,1979,1817,845,410,121,147,1160,6965,4851,3635,3438,2955,2594,3026,1032,1551,1393,1620,2503,1673,1066,1426
10029,"10029 - East Harlem, South",26767,23058,190,6640,111,19506,2040,3849,4015,4786,3185,2138,1208,1239,4433,8097,6927,5472,5253,4730,4298,4230,1844,2736,1174,1622,2231,2073,1364,1410
10030,"10030 - Central Harlem, Middle",5204,18549,97,673,74,3116,1799,2059,1310,1442,765,862,280,808,1449,3376,2901,2378,2040,2038,2113,1655,592,849,424,393,764,374,208,433
10031,"10031 - Hamilton Heights",17295,19765,245,2236,2,10608,10284,2928,2813,2599,2104,1381,990,1170,4041,7007,6350,4305,4300,3965,4208,3058,1180,1596,888,1032,1599,1174,824,922
10032,"10032 - South Washington Heights",20951,11974,786,2510,66,22243,5654,3346,2651,2384,1787,1154,809,951,3937,9061,6356,4758,3782,4096,3682,4180,1701,1947,1032,1347,1662,1441,752,1368
10033,"10033 - Washington Heights",23941,6171,595,1585,55,23030,4223,3531,2821,2475,1646,1533,962,670,3895,6792,5115,4320,4181,4014,3572,3627,1468,1686,1145,1340,1817,1156,888,947
10034,"10034 - Inwood",17104,3995,206,856,59,18607,2425,2861,2043,2374,1290,1273,548,743,2039,3693,4225,3399,2772,3372,2497,2151,1256,1548,834,937,1242,1008,499,652
10035,"10035 - East Harlem, Middle",7734,15558,282,2011,41,8927,1494,2308,2097,2385,1132,881,426,473,1865,3335,3179,2491,2397,2135,2863,2129,818,924,465,891,1050,730,519,556
10036,"10036 - Theatre District/Clinton",15851,1838,113,4168,0,1438,479,650,335,136,282,150,308,362,1496,3720,3428,2044,1978,1659,1727,1684,825,642,438,537,712,311,278,183
10037,"10037 - East Harlem, North",2346,14924,33,577,23,1599,1033,1379,1219,1105,673,360,135,207,797,2002,2117,1395,1121,1399,1342,1389,505,667,296,375,593,493,350,617
10038,"10038 - South St. Seaport/Chinatown",10764,2078,57,7677,0,970,636,801,546,673,405,1198,277,288,1288,3101,2410,1700,1278,1278,1239,1289,602,623,387,464,624,646,463,603
10039,"10039 - Central Harlem, North",2965,17861,308,314,3,4288,1073,2098,1685,2047,979,771,199,460,1680,2609,2271,1644,1827,1567,1798,1482,495,656,235,355,597,471,511,373
10040,"10040 - North Washington Heights",16734,4795,369,1263,12,19225,2419,2393,2037,2113,1201,914,683,652,2247,4619,4062,3409,2786,2990,3002,2471,915,1699,724,895,1685,937,890,1494
10044,"10044 - Roosevelt Island",6234,1710,0,3034,0,255,498,669,180,335,289,34,85,54,940,993,1317,1028,741,755,733,673,373,464,283,219,641,345,280,300
10128,"10128 - Yorkville",50443,3111,6,5815,8,967,2435,3613,2544,2260,1146,892,304,321,2445,7405,6864,4436,4266,4545,4322,3128,1509,2105,1406,1920,2544,1875,1504,1428
10280,"10280 - Battery Park City",11048,219,0,2870,0,257,506,1655,1028,641,260,91,57,8,349,1018,1836,2144,1721,899,1054,518,309,313,257,169,262,66,136,108
10301,"10301 - New Brighton/Grymes Hill",22520,11411,88,2555,3,2680,1880,3018,2484,2799,1625,1250,792,757,1675,2238,2645,2865,2696,2833,2996,2781,928,1498,730,969,1240,1061,560,696
10302,"10302 - Port Richmond",10892,3315,68,1234,2,1587,774,1190,1365,1078,617,497,257,213,735,1940,1347,956,1169,1160,1330,1202,448,470,241,437,379,417,210,213
10303,"10303 - Mariners Harbour/Point Ivory",7250,8039,67,1262,0,2007,433,1408,1222,1414,1126,616,488,387,890,1622,1274,1010,1324,1412,1209,1154,360,451,255,400,358,250,240,189
10304,"10304 - Stapleton/Fox Hills",20799,10873,200,3725,16,3352,1293,2245,3220,2408,1824,1183,589,904,1712,2768,2762,2472,2623,2413,2703,2323,1112,1513,805,828,1454,830,763,803
10305,"10305 - Rosebank",32043,2297,388,4594,17,1682,1042,2474,2455,2480,1363,813,540,537,1670,3183,2978,2809,2896,2970,3055,2885,1362,1704,934,998,1272,902,970,815
10306,"10306 - New Dorp/Richmondtown",48000,1186,22,2993,0,1193,702,2751,2935,3148,2126,1243,529,783,1954,3340,2963,3136,3836,3794,4028,4253,1476,2022,1059,1555,2436,1589,1468,1669
10307,"10307 - Tottenville",14136,31,29,456,0,193,235,826,963,1262,642,310,238,213,690,1082,847,892,1120,1326,1544,807,240,311,306,449,364,253,181,213
10308,"10308 - Great Kills",27478,74,58,1609,8,241,269,1314,1659,1871,1173,579,359,393,1123,1975,1591,1619,2383,2333,2308,2186,753,1185,579,910,1345,837,627,634
10309,"10309 - Princes Bay/Woodrow",30154,473,74,1781,0,859,446,1963,2459,2075,1539,520,387,573,1087,2126,2056,2156,2869,2196,2697,2699,863,1246,719,825,1223,706,389,414
10310,"10310 - West New Brighton",14749,5185,4,1266,0,1759,951,1643,1666,1900,1004,709,314,324,904,1611,1473,1449,1653,1599,1818,1543,610,950,480,495,593,374,467,339
10312,"10312 - Eltingville/Annadale",56751,579,63,3107,47,597,576,3225,3322,4107,2507,1271,781,683,2485,3406,3758,3915,4406,4793,4464,4647,1606,2462,1683,2063,2715,1496,1072,852
10314,"10314 - Castleton Corners/New Springvill",64411,3703,73,11669,157,1660,1881,4882,4467,5142,2793,1891,1083,1098,3040,5583,5250,4835,5260,6241,6488,5678,2511,3383,2040,2924,3056,2322,1529,2059
10451,"10451 - Melrose",5243,17288,259,1099,40,21479,1826,3394,3724,3439,2137,1604,893,689,2196,3802,3439,3046,2737,3307,2841,2486,936,1360,669,966,1335,921,585,727
10452,"10452 - Highbridge",8450,24263,159,770,25,39521,2936,6032,6362,6233,3782,2175,1264,1476,3989,5798,5928,4726,5379,5086,4908,4178,1510,1529,931,926,1866,894,642,508
10453,"10453 - Morris Heights",8443,25283,593,1282,52,42173,2005,6368,6321,6021,3775,2561,1779,1579,4447,6909,5954,4947,4789,5056,5676,4489,1270,1784,1158,1386,1623,1027,504,408
10454,"10454 - Mott Haven/Port Morris",6029,11360,340,278,0,19900,1039,3314,3254,3585,1955,1454,1048,740,2071,2911,2879,3113,2074,2372,2083,1644,570,650,401,404,959,698,500,268
10455,"10455 - The Hub/Longwood",4191,14520,247,447,126,25681,1283,4307,4036,3580,2315,1071,887,899,2217,4098,3697,3326,2415,2613,2731,2449,1113,803,659,597,1072,791,453,367
10456,"10456 - Morrisania",7766,37165,865,804,0,40938,2547,7679,7410,7356,4457,2682,1595,1929,4706,7309,5696,5472,5294,6137,5548,5155,1809,2110,1407,1525,1969,1041,777,1023
10457,"10457 - Tremont/East Tremont",8756,25253,304,1032,52,36581,2584,6740,6163,5736,3993,2512,1245,1370,3546,6317,5289,4886,4703,4844,4661,3974,1091,1263,936,1266,1761,1064,690,512
10458,"10458 - Belmont/Fordham/Bedford Park",15638,16805,368,2655,69,43464,3524,6719,5813,6274,3660,3935,2687,1928,4249,7187,6174,5341,5503,4875,4815,3795,1470,2183,1156,1128,1517,1028,547,541
10459,"10459 - Longwood/Morrisania",5715,15538,294,512,0,24770,1309,3913,3785,3741,2285,1758,836,783,2470,4378,3281,3204,2728,3054,2715,2573,781,1361,540,833,987,1050,597,485
10460,"10460 - West Farms/Crotona",7906,17337,109,1084,0,31228,1496,5088,4395,4387,2957,1886,728,783,3288,5448,4101,3771,2851,4321,4337,2835,1133,1355,747,1066,1681,1130,416,456
10461,"10461 - Westchester/Morris Park",23455,4493,252,5364,6,13796,2116,3141,2346,2836,1598,736,772,607,2014,3928,4226,3692,3254,3960,3416,3137,1179,1157,888,1049,1538,1297,1344,1366
10462,"10462 - Parkchester/Van Nest",18351,21464,458,9689,0,26200,3597,5381,5474,4628,2721,1749,1210,957,3769,7013,6857,6217,5211,4717,5733,5234,1637,2348,1207,1560,2216,1574,1345,1003
10463,"10463 - Kingsbridge (full)",30825,11594,446,2877,85,22156,3758,5043,4644,3623,2226,1367,1316,890,2172,5698,6050,4687,4477,4957,3904,4388,1618,2363,1845,2080,2333,2134,1576,2351
10464,"10464 - City Island",3068,27,0,205,0,719,15,144,93,409,105,46,88,51,187,43,256,175,217,274,456,152,121,187,231,101,364,170,62,102
10465,"10465 - Throgs Neck/Country Club",27245,5249,67,1500,8,9463,1447,2554,2681,2316,1415,1566,928,768,1858,2655,2445,3053,2783,2868,3277,3034,1374,1734,1058,1254,1606,1444,937,1373
10466,"10466 - Wakefield",6970,50741,526,1858,89,9170,1781,4435,4183,4806,3045,2087,1149,1314,3607,5369,4145,4114,4821,5136,5287,4785,1619,2228,1045,2171,2079,1428,1293,990
10467,"10467 - Norwood/Williamsbridge",20479,36573,738,6410,7,34332,4263,8742,7233,6620,3762,2632,1534,1702,4823,8816,8507,7157,6370,6602,6667,4959,2495,2824,1412,2120,2785,2066,1509,1464
10468,"10468 - University Heights",10431,15254,611,2703,0,42569,3355,6577,5151,4573,2904,1764,1495,1141,4343,7034,6149,4920,4615,4744,5135,4358,1498,1687,881,1334,1769,962,1093,796
10469,"10469 - Williamsbridge/Baychester",12831,39679,613,3799,127,12358,2040,3863,4256,4447,3378,1955,1228,1107,3122,4784,4682,4470,4879,4982,5481,4072,1647,2363,1472,1584,2419,2081,1534,1641
10470,"10470 - Woodlawn/Wakefield",6921,5478,1,522,0,1598,248,954,768,713,399,191,114,240,734,1427,991,965,918,1138,982,1055,286,531,205,381,498,505,380,391
10471,"10471 - Riverdale/Fieldston",15394,1800,47,1587,0,2338,683,1562,1026,926,499,1098,615,302,513,1424,1406,1307,1353,1479,1041,1183,598,888,528,756,840,805,647,1054
10472,"10472 - Soundview",12033,19596,614,4012,0,29088,3623,5646,5445,4747,3091,1972,1158,1042,3490,6057,5392,4963,3984,5023,3403,3379,1167,1709,874,1540,1847,1509,618,914
10473,"10473 - Clasons Point",22029,24530,262,1295,0,11682,1976,3602,3735,4796,2544,1784,954,1312,3365,4517,3681,3706,3559,4082,4576,3940,1585,1861,1324,1367,1988,1662,898,937
10474,"10474 - Hunts Point",1575,4223,43,54,43,6441,421,965,1091,1024,720,350,182,207,787,1063,1327,885,749,948,891,392,146,217,172,180,219,64,112,107
10475,"10475 - Co-op City/Eastchester",6795,28547,143,515,0,7056,1972,1893,2334,2008,1382,1093,938,464,2238,2105,1871,2598,2913,3736,2903,3204,1413,1847,1354,1250,2534,2086,1358,1506
11370,"11370 - Jackson Heights-Rikers Island (Bronx only)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
11001,"11001 - Floral Park",1741,75,4,2335,0,135,35,224,239,176,111,39,46,14,205,297,232,217,314,276,357,447,64,277,88,148,210,157,96,91
11004,"11004 - Glen Oaks",6810,842,32,5244,0,287,532,710,517,457,295,192,147,244,625,927,1024,645,605,963,957,1129,419,651,269,543,586,506,478,858
11005,"11005 - North Shore Towers",2383,299,0,675,0,98,103,207,144,67,51,40,0,74,122,172,219,198,125,240,276,308,105,111,64,119,144,196,171,405
11040,"11040 - New Hyde Park",1009,100,0,828,0,33,122,117,70,58,37,23,21,27,102,141,157,94,71,153,180,166,62,116,58,87,95,64,88,106
11101,"11101 - Long Island City/Hunters Point",16433,4153,180,6904,32,3102,1471,2047,1270,1066,547,646,393,348,1223,4241,4577,3190,2562,2484,1762,1279,880,845,383,541,653,753,262,323
11102,"11102 - Old Astoria",19713,3722,137,5625,30,4118,1051,1736,1308,1448,962,502,480,378,1802,4960,4485,3102,2183,1921,2226,1703,670,631,624,699,912,543,478,644
11103,"11103 - Astoria",25567,1070,96,5560,53,3060,1073,1490,999,1279,759,537,222,385,2090,6091,5220,3207,2404,2022,2145,1930,634,904,579,658,1014,806,637,467
11104,"11104 - Sunnyside",17970,619,68,6290,0,2389,899,1492,1265,1106,713,373,231,265,835,2939,3071,2801,2791,1953,1887,1620,720,866,597,617,757,622,414,302
11105,"11105 - Steinway",27550,797,109,4882,0,2613,1012,1817,1422,1281,843,492,289,420,2172,5037,4895,3277,2220,2571,2171,2182,757,875,598,709,736,853,717,629
11106,"11106 - Ravenswood",22064,2823,101,7498,22,4810,1781,1947,1645,1283,718,519,445,195,1953,5359,4670,4224,3012,2570,2252,1871,704,864,767,902,1220,723,559,697
11201,"11201 - Brooklyn Heights/Cobble Hill",37407,7862,30,6537,108,3250,2956,4021,2447,1505,950,1404,693,765,2062,6548,8549,5901,4828,3813,2955,2605,1143,1544,655,1147,1648,947,939,1080
11203,"11203 - East Flatbush",3807,70181,100,1323,11,2403,1080,4824,4723,4545,3028,1889,1139,1025,3356,5784,5229,4597,5425,4913,5378,5455,1885,2876,1675,2183,3333,2539,1489,1620
11204,"11204 - Parkville/Bensonhurst",50311,690,126,25380,0,4870,1063,7081,6221,5741,3457,1716,1140,811,3003,6026,6195,5559,5474,4736,4727,4944,1928,2827,1966,1698,2069,1813,1505,1804
11205,"11205 - Fort Greene",21393,14310,67,3300,5,4130,1310,4168,3789,2928,1405,1454,986,928,2128,4086,4592,3622,2923,2316,2006,1778,828,807,597,738,839,705,492,399
11206,"11206 - Williamsburg/Bedford-Stuyvesant",38388,24587,636,5993,53,13627,3217,7205,7310,6173,3622,2219,1161,1145,5778,9995,7560,6070,4120,4289,4353,4032,1427,1818,1344,1566,1949,1630,1037,697
11207,"11207 - East New York",13275,60104,364,1255,101,14792,1983,6696,6321,6470,4234,2497,1725,1561,5112,8356,6425,5617,5622,6240,6263,5826,1996,2248,1389,1840,2181,1377,1005,871
11208,"11208 - Cypress Hills",24735,53752,299,5875,114,12127,2442,8227,7939,6576,4674,2793,1573,1752,5003,8168,7310,6712,6290,6591,6778,5583,2415,2703,1439,1332,2440,1226,932,887
11209,"11209 - Bay Ridge",50087,1342,169,8977,19,3922,1934,4281,3655,2709,1658,1182,505,663,2385,5802,5753,4636,4546,4760,4941,4173,1723,2397,1454,1901,2634,1802,1460,1431
11210,"11210 - Vanderveer",20006,38840,54,2898,0,2681,1282,4426,4577,4774,2850,2000,1264,1032,2577,4856,4158,3952,4883,4077,4209,4243,1779,2050,1343,1425,2076,1400,905,905
11211,"11211 - Williamsburg",76434,6220,338,5297,28,8494,2472,10101,6279,5127,2954,1903,796,1158,5002,14702,12944,8905,5873,4420,4117,3656,1270,2162,1375,1446,1496,1236,880,1482
11212,"11212 - Brownsville",4873,73419,264,1343,0,6184,1480,7098,5404,6606,3792,2559,1353,1151,3781,7446,6469,5422,5774,6097,5669,4806,1759,2382,1443,2229,2266,1680,1226,1153
11213,"11213 - Brower Park/Crown Heights",13118,44915,204,1385,0,3944,1741,4908,4194,4136,2789,1765,1099,1279,3219,5903,5039,4190,3974,3878,4477,4030,1413,1847,875,1269,1685,1343,805,1190
11214,"11214 - Bath Beach/Bensonhurst",47659,1242,182,32827,4,7471,1233,5788,5097,4723,3071,1410,1036,1196,3203,7522,6791,6356,6413,5838,6634,6281,1977,3105,1898,2305,3010,2330,1994,2637
11215,"11215 - Park Slope/Windsor Terrace",53765,3336,183,5388,0,4509,4035,5644,4212,2798,1601,480,290,413,3004,7899,8733,8120,6115,4918,3683,3487,1416,1804,1341,1471,1567,950,596,674
11216,"11216 - Bedford-Stuyvesant",13559,36840,190,2570,13,2440,1935,3007,2478,2394,1744,880,770,629,3775,8534,5944,4494,3948,3333,3561,3382,1149,1703,914,886,1455,1050,770,748
11217,"11217 - Park Slope/Gowanus",21959,6839,77,2693,0,4309,1797,2746,1474,1442,819,316,238,254,1345,4673,5270,4025,2927,2556,1773,1878,832,1099,744,795,947,543,457,521
11218,"11218 - Kensington/Windsor Terrace",45097,6568,306,14149,0,8706,2764,7212,6096,5644,2895,1605,1040,685,3094,6513,6541,6285,5139,4252,4493,4009,1540,2574,1333,1477,1728,1285,1029,1121
11219,"11219 - Borough Park",61447,1125,232,22675,0,6044,901,11239,8974,7619,4340,1918,1532,1305,4367,7547,6539,4986,5158,4034,4437,4282,1728,2208,1687,1645,1617,1440,1411,2411
