MapID,Area Name,One-family dwellings,Two-family dwellings,Three-family dwellings,4-6 family dwellings,Over 6 family dwellings,Misc. walkups,Elevator apartments,Old-law Tenements,Cooperatives,Condominium buildings,Multi-use residences,Warehouses,Heavy manufacture,Light manufacture,Other industrial,Garages & gas stations,Hotels,Hospitals,Health centers & clinics,Nursing homes,Misc. health facilities,Theatres,1- and 2-story store bldgs,Department stores,Shopping centers,Misc. store buildings,Loft buildings,Religious buildings,Asylums and homes,Office buildings,Places of public assembly,Outdoor rec facilities,Transportation facilities,Utility properties,Vacant land,Schools,Government installations,Miscellaneous
11238,11238 - Prospect Heights,207,1095,871,540,443,66,93,39,9,1,45,171,4,0,5,5,5,2,54,0,0,30,7,76,4,15,10,42,151,465,1,15,275,21,5,23,131,22
11239,11239 - Starrett City,178,123,19,0,0,0,9,0,0,0,0,7,0,0,1,1,0,0,12,0,1,0,0,0,0,0,0,0,2,0,0,0,24,2,0,0,0,0
11354,11354 - Flushing,2080,982,620,54,72,7,59,111,15,2,20,143,18,1,1,9,0,2,208,1,5,166,0,54,3,71,10,18,97,154,5,8,146,18,15,0,39,12
11355,11355 - Flushing/Murray Hill,2628,2442,639,68,68,2,119,17,8,3,2,102,0,2,2,3,1,0,103,0,0,53,0,60,6,45,5,10,102,189,0,3,102,13,4,1,51,8
11356,11356 - College Point,1435,2165,292,81,6,2,0,78,76,4,29,77,1,0,0,0,0,1,36,0,8,32,0,13,1,26,10,22,16,105,1,6,194,7,8,0,0,14
11357,11357 - Whitestone,6705,1991,287,43,4,1,1,10,10,0,7,79,1,0,0,2,3,0,77,0,2,45,0,16,0,43,8,12,7,64,1,5,242,10,9,0,55,5
11358,11358 - Auburndale,5409,1838,435,105,58,4,5,9,2,0,1,65,0,0,0,2,0,0,132,0,1,49,0,31,3,56,8,7,16,216,0,7,96,10,8,0,21,3
11360,11360 - Bay Terrace,1490,686,160,39,0,0,4,0,0,0,0,3,0,1,0,0,0,0,0,0,4,0,0,6,0,8,3,14,6,21,0,1,37,2,1,0,21,0
11361,11361 - Bayside,3910,1487,307,57,24,18,1,5,0,0,2,71,3,0,0,1,4,0,103,0,2,37,0,30,6,56,3,12,7,97,0,10,94,11,5,0,20,6
11362,11362 - Little Neck,2721,338,22,13,0,1,0,0,0,0,0,12,0,0,1,2,0,0,25,0,2,11,0,11,1,24,4,12,11,48,1,3,120,3,2,0,18,0
11363,11363 - Douglaston,1638,171,44,16,2,0,2,0,0,0,0,36,0,0,0,0,0,0,13,0,0,3,0,4,0,9,2,52,2,19,0,9,144,4,3,0,4,4
11364,11364 - Oakland Gardens/Bayside Hill,4530,1149,95,1,0,6,0,1,0,1,0,6,0,0,0,2,1,0,26,0,1,11,0,19,0,17,2,28,5,30,0,2,44,10,3,0,27,2
11365,11365 - Fresh Meadows,4608,1150,280,21,9,9,8,7,0,0,1,21,2,0,2,0,0,0,23,1,1,10,0,14,1,38,2,8,25,38,0,4,59,9,3,0,8,4
11366,11366 - Utopia/Fresh Meadows,2737,699,18,29,0,6,0,0,0,0,0,11,0,1,0,2,0,0,53,0,0,10,0,12,0,16,1,1,3,24,0,5,15,7,2,0,1,2
11367,11367 - Kew Garden Hills,3494,753,203,14,1,24,5,0,0,0,0,47,0,0,0,0,0,0,43,0,2,7,0,24,1,18,2,2,3,46,0,0,37,24,0,0,43,2
11368,11368 - Corona,608,2356,2195,899,196,6,46,52,17,4,26,241,4,0,3,2,1,0,172,0,0,140,0,72,4,26,7,17,70,547,0,6,160,13,6,0,13,38
11369,11369 - East Elmhurst,2064,2216,511,96,14,3,1,5,4,0,4,67,8,0,2,2,0,0,30,0,0,31,0,24,2,10,4,7,1,70,0,0,128,7,3,0,4,12
11370,11370 - Jackson Heights-Rikers Island(Queens only),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11372,11372 - Jackson Heights,569,727,329,117,109,3,101,4,0,0,0,22,0,0,2,1,3,0,241,0,0,67,0,15,0,64,2,3,14,169,0,2,11,11,2,0,166,1
11373,11373 - Elmhurst,1514,1881,2204,280,136,9,105,13,3,3,3,100,4,1,3,1,3,1,143,1,8,55,0,44,3,52,6,13,90,274,2,9,132,18,9,0,45,3
11374,11374 - Rego Park,1811,813,204,28,12,1,71,3,0,0,1,24,1,0,0,1,1,0,86,1,1,14,0,12,1,27,3,4,28,61,0,10,33,9,1,0,53,2
11375,11375 - Forest Hills,4670,1064,154,39,39,2,88,4,0,0,0,104,1,2,1,4,0,2,100,0,2,42,0,26,3,39,10,6,32,160,0,8,107,21,5,1,142,1
11377,11377 - Woodside,1749,2618,1542,516,160,2,62,157,105,0,22,290,6,0,1,2,1,0,124,0,4,59,0,59,1,50,7,26,35,273,0,41,191,17,9,0,32,25
11378,11378 - Maspeth,2487,3250,723,182,20,1,3,281,95,7,27,258,3,0,0,2,0,0,38,0,0,34,0,15,1,50,7,28,7,290,0,17,259,13,7,0,2,39
11379,11379 - Middle Village,4350,2939,803,61,24,3,2,16,11,2,8,67,0,0,0,1,0,0,44,0,1,34,0,11,0,28,6,11,18,121,0,14,89,8,6,0,1,17
11385,11385 - Ridgewood/Glendale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11411,11411 - Cambria Heights,4587,621,9,2,0,3,0,0,0,0,0,10,0,0,3,0,0,0,42,0,0,6,0,19,0,9,3,1,0,18,0,6,23,8,1,0,0,1
11412,11412 - St. Albans,5976,2044,59,8,9,5,1,11,1,0,2,26,0,0,4,0,0,0,62,0,0,33,0,55,0,18,6,2,0,248,0,5,134,13,7,0,0,3
11413,11413 - Springfield Gardens/Laurelton,6491,2557,87,9,4,5,0,46,1,2,0,74,0,0,0,1,0,0,67,0,1,10,0,37,1,14,2,7,0,57,0,37,294,10,5,0,1,9
11414,11414 - Howard Beach,3504,1362,186,33,2,0,0,2,0,0,0,82,2,0,1,1,0,0,37,0,3,23,0,7,1,19,2,60,14,52,0,17,487,6,21,0,20,19
11415,11415 - Kew Gardens,617,227,159,29,30,1,41,4,0,0,0,23,0,0,1,0,0,0,10,0,0,8,0,9,2,12,0,3,11,38,0,8,27,5,2,1,28,4
11416,11416 - Ozone Park/Woodhaven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11417,11417 - Ozone Park,2342,2388,305,78,14,0,0,23,5,0,8,107,4,0,0,0,0,0,44,0,4,64,0,8,0,18,2,33,7,174,0,49,216,6,10,0,0,12
11418,11418 - Richmond Hill,1665,2027,465,110,41,2,12,59,46,1,4,93,0,1,7,18,2,0,60,0,0,63,0,25,3,42,8,1,9,357,0,38,62,16,4,0,10,9
11419,11419 - South Richmond Hill,3234,2958,412,65,18,3,1,16,4,1,5,70,0,0,1,0,0,0,103,0,1,111,0,32,2,51,3,2,0,387,0,1,77,4,2,0,1,8
11420,11420 - South Ozone Park,4936,3492,187,29,6,1,0,8,0,0,3,77,2,0,1,0,0,0,48,0,1,43,0,38,3,23,4,11,2,191,0,14,214,16,2,0,0,12
11421,11421 - Woodhaven,2553,2563,467,59,29,6,6,5,1,0,3,45,0,0,0,0,1,0,45,0,0,44,0,12,2,19,6,2,2,317,0,14,42,5,2,1,4,4
11422,11422 - Rosedale,3821,2284,209,1,0,1,0,8,0,0,1,50,1,0,1,0,0,0,57,0,0,24,0,10,0,12,4,31,3,44,1,9,211,8,7,0,3,29
11423,11423 - Hollis/Holliswood,3442,1114,153,20,10,9,15,21,1,2,0,53,0,1,5,2,1,0,37,0,1,19,0,24,2,18,1,2,1,157,0,9,81,8,4,0,6,4
11426,11426 - Bellerose,3501,686,38,6,0,1,1,5,0,0,0,21,1,1,1,0,1,0,42,0,1,13,0,9,0,18,3,1,1,39,0,1,78,6,1,0,6,0
11427,11427 - Queens Village/Creedmoor,3238,729,88,7,2,18,1,0,0,0,0,17,0,4,1,2,0,0,14,0,1,17,0,8,0,5,1,7,0,53,0,2,44,4,1,0,9,0
11428,11428 - Queens Village,3208,677,38,7,5,5,2,2,0,0,2,33,1,0,1,0,0,0,29,0,1,48,0,25,0,32,2,0,0,167,0,2,35,6,3,0,1,1
11429,11429 - Queens Village (South),4100,1194,37,28,2,4,1,11,5,2,4,70,1,0,1,0,1,0,43,0,0,14,0,25,2,11,5,4,0,97,1,9,105,6,5,0,0,3
11430,11430 - JFK Airport,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,5,0,1,0,0,0
11432,11432 - Jamaica/Hillcrest,3687,1460,406,33,46,4,82,2,0,0,1,80,4,3,4,5,3,0,171,2,1,95,0,60,7,69,5,7,15,232,0,7,117,30,10,0,24,5
11433,11433 - South Jamaica,2986,2108,224,29,3,3,9,81,16,1,20,198,2,0,1,1,1,0,40,0,1,30,0,83,4,12,6,8,5,125,1,41,280,18,8,0,3,36
11434,11434 - Rochdale/Baisley Park,6056,3480,53,6,2,8,8,122,4,3,3,205,12,1,2,2,2,0,92,0,0,54,0,61,9,41,9,15,3,128,0,37,360,18,15,0,3,25
11435,11435 - Jamaica Hills/South Jamaica,2266,2105,501,84,66,12,64,63,21,3,15,166,7,0,6,3,2,0,93,0,0,78,0,55,8,56,5,7,7,247,0,9,180,15,3,1,24,47
11436,11436 - South Ozone Park,2834,1277,24,5,0,1,0,3,0,0,1,30,5,0,2,0,0,0,20,0,0,7,0,17,0,1,2,7,0,64,0,16,134,6,1,0,0,3
11691,11691 - Far Rockaway,2271,2510,434,51,28,21,59,15,0,1,4,95,1,4,5,17,3,0,68,0,3,24,0,60,1,21,4,92,12,57,0,40,780,29,8,0,5,22
11692,11692 - Arverne,382,1355,125,11,1,0,5,5,2,1,3,32,0,0,0,2,3,0,13,0,0,2,0,9,0,4,8,53,4,7,0,25,222,3,7,0,2,15
11693,11693 - Hammels/Broad Channel,992,330,117,19,7,6,2,14,0,0,6,30,0,0,0,1,0,0,23,0,1,11,0,7,3,4,8,25,8,23,1,31,287,2,5,0,3,11
11694,11694 - Seaside/Belle Harbour/Neponsit,1844,1160,233,63,18,38,7,3,0,0,1,36,2,1,0,6,0,0,41,0,1,12,0,12,3,13,2,13,19,44,0,28,128,8,4,1,11,3
11697,11697 - Rockaway Point/Roxbury,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,2,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region: New York City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overall Area: New York City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Areas Compared: Zip Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data and Sources:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"One-family dwellings [  Type of Building or Land Use ] Land Use 2014, 1999 2014 from NYC Depts. of City Planning and Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Two-family dwellings [  Type of Building or Land Use ] Land Use 2014, 1999 2014 from NYC Depts. of City Planning and Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Three-family dwellings [  Type of Building or Land Use ] Land Use 2014, 1999 2014 from NYC Depts. of City Planning and Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4-6 family dwellings [  Type of Building or Land Use ] Land Use 2014, 1999 2014 from NYC Depts. of City Planning and Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Over 6 family dwellings [  Type of Building or Land Use ] Land Use 2014, 1999 2014 from NYC Depts. of City Planning and Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Misc. walkups [  Type of Building or Land Use ] Land Use 2014, 1999 2014 from NYC Depts. of City Planning and Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elevator apartments [  Type of Building or Land Use ] Land Use 2014, 1999 2014 from NYC Depts. of City Planning and Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Old-law Tenements [  Type of Building or Land Use ] Land Use 2014, 1999 2014 from NYC Depts. of City Planning and Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cooperatives [  Type of Building or Land Use ] Land Use 2014, 1999 2014 from NYC Depts. of City Planning and Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Condominium buildings [  Type of Building or Land Use ] Land Use 2014, 1999 2014 from NYC Depts. of City Planning and Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Multi-use residences [  Type of Building or Land Use ] Land Use 2014, 1999 2014 from NYC Depts. of City Planning and Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Warehouses [  Type of Building or Land Use ] Land Use 2014, 1999 2014 from NYC Depts. of City Planning and Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Heavy manufacture [  Type of Building or Land Use ] Land Use 2014, 1999 2014 from NYC Depts. of City Planning and Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Light manufacture [  Type of Building or Land Use ] Land Use 2014, 1999 2014 from NYC Depts. of City Planning and Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other industrial [  Type of Building or Land Use ] Land Use 2014, 1999 2014 from NYC Depts. of City Planning and Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Garages & gas stations [  Type of Building or Land Use ] Land Use 2014, 1999 2014 from NYC Depts. of City Planning and Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hotels [  Type of Building or Land Use ] Land Use 2014, 1999 2014 from NYC Depts. of City Planning and Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hospitals [  Type of Building or Land Use ] Land Use 2014, 1999 2014 from NYC Depts. of City Planning and Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Health centers & clinics [  Type of Building or Land Use ] Land Use 2014, 1999 2014 from NYC Depts. of City Planning and Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nursing homes [  Type of Building or Land Use ] Land Use 2014, 1999 2014 from NYC Depts. of City Planning and Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Misc. health facilities [  Type of Building or Land Use ] Land Use 2014, 1999 2014 from NYC Depts. of City Planning and Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Theatres [  Type of Building or Land Use ] Land Use 2014, 1999 2014 from NYC Depts. of City Planning and Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1- and 2-story store bldgs [  Type of Building or Land Use ] Land Use 2014, 1999 2014 from NYC Depts. of City Planning and Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Department stores [  Type of Building or Land Use ] Land Use 2014, 1999 2014 from NYC Depts. of City Planning and Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shopping centers [  Type of Building or Land Use ] Land Use 2014, 1999 2014 from NYC Depts. of City Planning and Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Misc. store buildings [  Type of Building or Land Use ] Land Use 2014, 1999 2014 from NYC Depts. of City Planning and Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Loft buildings [  Type of Building or Land Use ] Land Use 2014, 1999 2014 from NYC Depts. of City Planning and Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Religious buildings [  Type of Building or Land Use ] Land Use 2014, 1999 2014 from NYC Depts. of City Planning and Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asylums and homes [  Type of Building or Land Use ] Land Use 2014, 1999 2014 from NYC Depts. of City Planning and Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Office buildings [  Type of Building or Land Use ] Land Use 2014, 1999 2014 from NYC Depts. of City Planning and Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Places of public assembly [  Type of Building or Land Use ] Land Use 2014, 1999 2014 from NYC Depts. of City Planning and Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Outdoor rec facilities [  Type of Building or Land Use ] Land Use 2014, 1999 2014 from NYC Depts. of City Planning and Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation facilities [  Type of Building or Land Use ] Land Use 2014, 1999 2014 from NYC Depts. of City Planning and Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Utility properties [  Type of Building or Land Use ] Land Use 2014, 1999 2014 from NYC Depts. of City Planning and Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vacant land [  Type of Building or Land Use ] Land Use 2014, 1999 2014 from NYC Depts. of City Planning and Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools [  Type of Building or Land Use ] Land Use 2014, 1999 2014 from NYC Depts. of City Planning and Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Government installations [  Type of Building or Land Use ] Land Use 2014, 1999 2014 from NYC Depts. of City Planning and Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Miscellaneous [  Type of Building or Land Use ] Land Use 2014, 1999 2014 from NYC Depts. of City Planning and Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
