MapID,Area Name,Cholesterol screening among adults aged >=18 years,Current lack of health insurance among adults aged 18-64 years,"Fecal occult blood test, sigmoidoscopy, colonoscopy aged 50-75",Mammography use among women aged 50-74 years,Older men aged >=65 years up to date on core preventive svcs,Older women aged >=65 years up to date core preventive svcs ,Papanicolaou smear use among adult women aged 21-65 years ,Taking medicine for high blood pressure adults >=18 yrs w hb (%x10),Visits to dentist or dental clinic among adults aged >=18 years ,"Visits to doctor for routine checkup in past yr,adults >=18 yrs ",borough
11421,11421 - Woodhaven,757,225,597,754,275,242,795,719,594,733,QUEENS
11422,11422 - Rosedale,812,136,698,821,265,261,870,766,626,817,QUEENS
11423,11423 - Hollis/Holliswood,790,175,635,776,256,240,798,768,587,782,QUEENS
11426,11426 - Bellerose,799,126,656,776,314,287,788,757,679,766,QUEENS
11427,11427 - Queens Village/Creedmoor,801,150,650,780,282,261,795,772,635,778,QUEENS
11428,11428 - Queens Village,785,175,629,770,266,252,786,747,602,764,QUEENS
11429,11429 - Queens Village (South),802,171,672,805,244,234,845,784,572,812,QUEENS
11430,11430 - JFK Airport,829,126,682,759,329,290,832,769,678,762,QUEENS
11432,11432 - Jamaica/Hillcrest,741,212,583,746,256,228,737,747,561,748,QUEENS
11433,11433 - South Jamaica,769,212,626,781,227,211,815,771,521,793,QUEENS
11434,11434 - Rochdale/Baisley Park,812,166,676,808,237,228,848,790,569,822,QUEENS
11435,11435 - Jamaica Hills/South Jamaica,755,215,602,758,258,230,783,738,565,750,QUEENS
11436,11436 - South Ozone Park,792,180,649,797,234,222,833,768,555,800,QUEENS
11691,11691 - Far Rockaway,763,241,598,749,249,209,794,770,508,768,QUEENS
11692,11692 - Arverne,759,242,590,757,237,203,791,764,493,778,QUEENS
11693,11693 - Hammels/Broad Channel,791,166,639,763,283,251,820,749,608,759,QUEENS
11694,11694 - Seaside/Belle Harbour/Neponsit,832,113,692,773,325,293,839,782,697,773,QUEENS
11697,11697 - Rockaway Point/Roxbury,867,72,746,784,358,327,859,808,764,794,QUEENS
10301,10301 - New Brighton/Grymes Hill,769,172,602,740,304,286,819,760,616,748,STATEN
10302,10302 - Port Richmond,748,217,577,728,296,275,813,742,577,729,STATEN
10303,10303 - Mariners Harbour/Point Ivory,741,229,553,737,271,254,810,736,542,743,STATEN
10304,10304 - Stapleton/Fox Hills,768,192,581,736,289,275,805,762,585,750,STATEN
10305,10305 - Rosebank,793,134,625,740,328,316,824,757,666,742,STATEN
10306,10306 - New Dorp/Richmondtown,818,108,663,751,346,339,847,774,707,755,STATEN
10307,10307 - Tottenville,805,98,661,759,349,345,856,738,719,737,STATEN
10308,10308 - Great Kills,822,101,669,753,347,345,850,767,712,750,STATEN
10309,10309 - Princes Bay/Woodrow,806,105,655,753,340,342,848,740,705,738,STATEN
10310,10310 - West New Brighton,766,181,594,740,302,284,822,753,612,744,STATEN
10312,10312 - Eltingville/Annadale,817,98,674,760,343,348,850,760,719,749,STATEN
10314,10314 - Castleton Corners/New Springvill,807,116,654,752,335,330,829,773,692,753,STATEN
