MapID,area,cholesterol,insurance,colonoscopy,mammagrophy,older_men,older_women,pap_smear,high_bp,dentist,doctor,borough
10007,10007 - City Hall,78.6,7.2,70.6,80.8,34.8,35.1,86.1,59,79.5,68.6,61
10009,10009 - East Village/Stuyvesant Town,76,15.2,62.6,76,29.7,27.3,80.9,70.9,68,69.7,61
10010,10010 - Madison Square/Cooper Village,75.2,9,69.8,78.7,33.4,32.4,84.1,67.6,75.8,69.6,61
10011,10011 - Chelsea,80.4,7.8,70.7,79.4,34.6,33.1,86.6,69.2,78.1,70.7,61
10012,10012 - Village/Noho/Soho,77.3,8.2,70.8,79,34.3,33.8,84.7,68.2,77.4,69.8,61
10013,10013 - Tribeca/Chinatown,78.4,11.6,64.2,76.8,30.4,30.5,78.2,69.4,71,70.3,61
10014,10014 - Greenwich Village,80.4,6.2,73.8,80.4,36.5,35.8,88.5,68.1,81.1,70.4,61
10016,10016 - Murray Hill,76.4,7.5,72.3,79.5,35.5,34.3,85.4,67.7,78.8,69.9,61
10017,10017 - Grand Central/United Nations,80,6.1,73.9,80.4,36.4,35.8,86.9,70,81.1,71.5,61
10018,10018 - Garment District,73,10.5,67,79.5,32.1,30.8,82.6,61.1,74.2,68.2,61
10019,10019 - Midtown/Clinton,78.5,9.1,69.9,78.9,33.9,32,84.9,69.2,76.1,70.4,61
10020,10020 - Rockefeller Center,82.9,6.8,73.2,79,36.6,35.1,85.9,76.1,80,74.1,61
10021,10021 - Lenox Hill,83.2,5.8,75.2,80.1,37.3,35.8,88.1,73.5,81.7,73.5,61
10022,10022 - Sutton Place/Beekman Place,83.7,5.5,75.7,80.1,37.4,36.6,87.9,74.6,82.3,74.3,61
10023,10023 - Lincoln Center/Ansonia,82.5,6.4,73.9,80.2,36.3,34.9,87.6,72.9,80.9,73.1,61
10024,10024 - Upper West Side,84.2,6.5,73.5,80.1,35.5,34.2,87.8,74.3,80.4,73.6,61
10025,10025 - Cathedral,79.5,11.6,67.2,77.8,31.7,28.7,83.4,74.2,72.4,72.4,61
10026,"10026 - Central Harlem, South",77.4,19.5,59.2,77.2,23.5,22.1,81.4,73.3,57.3,73,61
10027,10027 - Manhattanville,73.7,19.8,60.2,76.3,25.4,23.3,80,70.1,59.4,71.2,61
10028,10028 - Yorkville,83.2,5.6,75.2,80.3,37.3,36.3,88.3,72.9,82.2,73.3,61
10029,"10029 - East Harlem, South",75.2,26.8,53.8,73,24,20,77.2,73.3,53.3,70.2,61
10030,"10030 - Central Harlem, Middle",76.9,22.2,57.6,76.7,22.1,20.7,80.6,73.8,52.6,73.9,61
10031,10031 - Hamilton Heights,74.2,26.7,54.8,74.1,23.4,19.8,78.8,72.6,54,69.6,61
10032,10032 - South Washington Heights,74.6,29,53,72.7,23.9,19.6,77.7,72.7,53.6,68.8,61
10033,10033 - Washington Heights,74.9,26.7,55,73.2,25.9,21.8,79.4,71.4,58.1,68.2,61
10034,10034 - Inwood,75.6,28.7,53.1,72.5,25.1,21,78.7,71.3,55.5,68.2,61
10035,"10035 - East Harlem, Middle",73.9,31.7,50.1,71.5,22.1,18,75.2,74,46.5,70.1,61
10036,10036 - Theatre District/Clinton,77.1,10.1,66.8,78.7,32.2,30.4,83.7,66.5,73.6,69.4,61
10037,"10037 - East Harlem, North",80.3,18.7,62.8,78.6,23.3,22,82.6,78.5,57.1,77.2,61
10038,10038 - South St. Seaport/Chinatown,74.6,16.3,60.4,74.8,28.3,27.9,75.6,65.6,65.4,70.1,61
10039,"10039 - Central Harlem, North",76.5,25.5,55.7,75.4,21.5,19.5,78.9,75.4,49.9,74.1,61
10040,10040 - North Washington Heights,76.2,24.9,56.7,74.1,26.8,22.6,81,72.6,60.4,69.4,61
10044,10044 - Roosevelt Island,81.6,10.2,68.7,79.6,31.1,30.1,84.2,74.7,72.9,73.5,61
10128,10128 - Yorkville,81.2,7,72.9,80,35.7,34.4,87.2,71.1,79.8,72.2,61
10280,10280 - Battery Park City,80.9,5.6,72.4,81.2,36.7,36.1,88.5,63.5,82.2,70.2,61
10463,10463 - Kingsbridge (Manhattan only),74.9,29.5,52.9,73.3,23.3,19.4,78.7,74.3,52.8,70.1,61
11001,11001 - Floral Park,81.1,11.6,67.2,77.8,31.8,29.1,79,77.3,69.1,77.2,81
11004,11004 - Glen Oaks,82,11.8,67.3,77.3,31.4,28.4,78.6,79.3,68.4,78.5,81
11005,11005 - North Shore Towers,85.4,9.7,72.6,78.3,33.4,29.3,83.1,81.7,72.6,80.8,81
11040,11040 - New Hyde Park,82.5,10.7,68,77.4,32.5,29,78.7,79.9,69.8,78.8,81
11101,11101 - Long Island City/Hunters Point,73.6,20.1,60.9,75.5,28.1,24.3,78.9,69.1,59.2,72.7,81
11102,11102 - Old Astoria,73.4,19.3,61.9,75,29.4,24.7,79.3,70.3,60.3,72,81
11103,11103 - Astoria,74,15.3,65.3,76,31.7,27.6,81.7,68.9,65.8,71.8,81
11104,11104 - Sunnyside,76,16.7,63.2,76.2,29.7,26.1,79.2,71.7,64,73.2,81
11105,11105 - Steinway,76.2,14.2,66.7,75.8,32.5,27.9,82.4,72.1,66.7,72.9,81
11106,11106 - Ravenswood,74.1,18.1,62.7,75.4,29.8,25.3,79.4,71.4,61.9,72.9,81
11354,11354 - Flushing,77.3,19.4,56.9,73.4,26.5,23.7,68.1,77.9,56.4,75.6,81
11355,11355 - Flushing/Murray Hill,74.9,22.3,52.1,71.7,24.4,21.8,63.1,76.5,51.2,74.2,81
11356,11356 - College Point,77.6,19.7,60.5,74.4,28.6,25.3,76.3,74.2,59.7,73.9,81
11357,11357 - Whitestone,83.1,11.5,69.1,77,32.8,29.6,81.2,78.6,69.6,77.4,81
11358,11358 - Auburndale,79.2,14.1,63.9,76.2,30.5,28,76.3,76.2,65.6,75.8,81
11360,11360 - Bay Terrace,85,9,71.5,78.1,34.1,31.1,82.1,80.8,73.6,79.5,81
